id,slug,title,summary,is_public,sort_order,published_at,updated_at,thumb_url,primary_link_url,primary_link_type,domain_key,detail_enabled
c95dada8-9a6d-462a-a14a-f551957c5fab,lg-llm-transition-2025,LG전자 챗봇 LLM 전환,기존 챗봇 구조를 분석하고 LLM 기반 전환 가능성을 검토해 향후 확장성과 응답 품질 개선 방향을 제안한 프로젝트,TRUE,1,2025-01-01,2025-01-01,,/work/lg-llm-transition-2025.html,external,ai_conversational,N
6fcbf4f9-2d65-47a9-b195-6f98134e16eb,lg-de-lineup-guide-2025,LG전자 독일 라인업 가이드 페이지 구축,독일 시장을 대상으로 제품 라인업을 명확히 전달하기 위한 가이드 페이지를 기획·구축한 프로젝트,TRUE,2,2025-01-01,2025-01-01,,/work/lg-de-lineup-guide-2025,detail,enterprise_web,N
4fc0357d-81e4-4574-81e5-e4d645fe160d,lg-th-event-2025,LG전자 태국 국문 이벤트 페이지 구축,태국 현지 캠페인 운영을 위한 국문 이벤트 페이지를 기획하고 사용자 참여 흐름을 설계한 프로젝트,TRUE,3,2025-01-01,2025-01-01,,/work/lg-th-event-2025,detail,marketing_campaign,N
9aff11b5-2bd0-44ba-b922-d2eb63e0b1d2,lg-story-ops-2025,LG전자 스토리 운영,브랜드 콘텐츠의 안정적인 발행과 품질 유지를 위해 스토리 페이지 운영 전반을 관리한 프로젝트,TRUE,4,2025-01-01,2025-01-01,,/work/lg-story-ops-2025,detail,operation_maintenance,N
0bc7db95-f696-4d5e-9dbc-37eba2ae3cb1,lg-story-a11y-2024-2025,LG전자 스토리 접근성 개선,웹 접근성 기준에 맞춰 스토리 페이지를 점검하고 개선해 다양한 사용자의 이용성을 강화한 프로젝트,TRUE,5,2024-01-01,2025-01-01,,/work/lg-story-a11y-2024-2025,detail,enterprise_web,N
4e9cae08-6570-4a56-a4c7-2116bd79cd46,lg-chatbot-ops-2024-2025,LG전자 챗봇 운영,고객 문의 대응 품질 유지를 위해 챗봇 시나리오 및 운영 전반을 지속적으로 관리한 프로젝트,TRUE,6,2024-01-01,2025-01-01,,/work/lg-chatbot-ops-2024-2025,detail,ai_conversational,N
0afefe4e-c7ae-4882-bfc8-8c6613ad48c7,lg-story-migration-2024,LG전자 스토리 마이그레이션,기존 스토리 콘텐츠를 새로운 환경으로 이전하고 운영 안정성을 확보한 마이그레이션 프로젝트,TRUE,7,2024-01-01,2024-01-01,,/work/lg-story-migration-2024,detail,enterprise_web,N
3b2f2cb2-0828-493b-8777-e7ddcb523030,lecroi-renewal-2024,르노코리아 홈페이지 리뉴얼,기존 홈페이지 구조를 검토하고 주요 화면 설계 및 품질 검증을 통해 사용성을 개선한 프로젝트,TRUE,8,2024-01-01,2024-01-01,,/work/lecroi-renewal-2024.html,external,enterprise_web,N
25d1362d-d816-4d94-802e-790d53ef84ea,lg-chatbot-renewal-2023,LG전자 챗봇 리뉴얼,고객 응대 효율 향상을 목표로 챗봇 구조와 시나리오를 전면 재정비한 리뉴얼 프로젝트,TRUE,9,2023-01-01,2023-01-01,,/work/lg-chatbot-renewal-2023,detail,ai_conversational,N
739c8586-f0b4-4455-9084-62f2565c1658,playd-homepage-2022,플레이디 홈페이지 구축,기업 이미지와 서비스 정보를 명확히 전달하기 위한 홈페이지 구축 및 전반 관리 프로젝트,TRUE,10,2022-01-01,2022-01-01,,/work/playd-homepage-2022,detail,enterprise_web,N
